Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.0000m,100.0000,101.8985,103.7921,105.6759,107.5447,109.3932,111.2155,113.0055,114.7564,116.4610,118.1111,119.6984,121.2134,122.6463,123.9868,125.2239,126.3466,127.3441,128.2058,128.9216,129.4826,129.8813,130.1116,130.1694,130.0526,129.7610,129.2967,128.6638,127.8680,126.9169,125.8191,124.5845,123.2235,121.7467,120.1649,118.4886,116.7278,114.8919,112.9898,111.0295,109.0183,106.9626,104.8683,102.7405,100.5838,98.4021,96.1988,93.9771,91.7395,89.4882,87.2252,84.9521,82.6705,80.3815,78.0862,75.7856,73.4804,71.1712,68.8587,66.5434,64.2256,61.9057,59.5841,57.2609,54.9365,52.6110,50.2845,47.9573,45.6293,43.3009,40.9719,38.6426,36.3129,33.9829,31.6528,29.3224,26.9919,24.6613,22.3307,20.0000
0.0128m,100.0000,101.9010,103.7971,105.6836,107.5552,109.4066,111.2321,113.0256,114.7802,116.4888,118.1434,119.7354,121.2555,122.6938,124.0398,125.2825,126.4109,127.4139,128.2806,129.0010,129.5659,129.9677,130.2001,130.2590,130.1422,129.8496,129.3833,128.7473,127.9477,126.9921,125.8893,124.6494,123.2829,121.8006,120.2134,118.5319,116.7663,114.9259,113.0197,111.0557,109.0411,106.9824,104.8855,102.7554,100.5966,98.4131,96.2084,93.9853,91.7465,89.4942,87.2303,84.9565,82.6743,80.3847,78.0890,75.7880,73.4824,71.1729,68.8602,66.5446,64.2266,61.9066,59.5848,57.2616,54.9370,52.6114,50.2849,47.9576,45.6296,43.3011,40.9721,38.6427,36.3130,33.9831,31.6529,29.3225,26.9920,24.6614,22.3307,20.0000
0.0256m,100.0000,101.9084,103.8121,105.7064,107.5863,109.4466,111.2816,113.0854,114.8513,116.5721,118.2400,119.8462,121.3816,122.8360,124.1987,125.4585,126.6039,127.6233,128.5055,129.2398,129.8166,130.2277,130.4666,130.5289,130.4122,130.1164,129.6438,128.9987,128.1875,127.2182,126.1003,124.8442,123.4610,121.9621,120.3586,118.6616,116.8814,115.0275,113.1090,111.1337,109.1091,107.0415,104.9367,102.7996,100.6348,98.4460,96.2367,94.0096,91.7674,89.5121,87.2457,84.9697,82.6855,80.3944,78.0972,75.7950,73.4884,71.1781,68.8646,66.5484,64.2298,61.9093,59.5872,57.2636,54.9387,52.6129,50.2861,47.9586,45.6305,43.3019,40.9728,38.6433,36.3135,33.9834,31.6531,29.3227,26.9921,24.6615,22.3308,20.0000
0.0385m,100.0000,101.9206,103.8368,105.7441,107.6376,109.5125,111.3632,113.1841,114.9686,116.7097,118.3997,120.0298,121.5907,123.0722,124.4631,125.7518,126.9261,127.9736,128.8822,129.6402,130.2373,130.6644,130.9144,130.9824,130.8658,130.5647,130.0813,129.4206,128.5895,127.5968,126.4530,125.1694,123.7579,122.2308,120.5999,118.8768,117.0720,115.1955,113.2563,111.2625,109.2212,107.1388,105.0209,102.8725,100.6976,98.5001,96.2832,94.0496,91.8016,89.5415,87.2708,84.9912,82.7040,80.4101,78.1107,75.8065,73.4983,71.1865,68.8718,66.5545,64.2351,61.9138,59.5910,57.2668,54.9415,52.6152,50.2881,47.9603,45.6320,43.3031,40.9738,38.6441,36.3142,33.9840,31.6536,29.3231,26.9924,24.6616,22.3308,20.0000
0.0513m,100.0000,101.9374,103.8708,105.7958,107.7081,109.6030,111.4755,113.3200,115.1304,116.8999,118.6207,120.2844,121.8814,123.4013,124.8324,126.1625,127.3783,128.4664,129.4132,130.2058,130.8324,131.2828,131.5489,131.6252,131.5089,131.1998,130.7008,130.0173,129.1572,128.1306,126.9491,125.6257,124.1735,122.6059,120.9359,119.1756,117.3362,115.4279,113.4598,111.4400,109.3755,107.2726,105.1366,102.9723,100.7837,98.5742,96.3468,94.1042,91.8485,89.5816,87.3052,85.0207,82.7291,80.4317,78.1291,75.8223,73.5117,71.1980,68.8816,66.5629,64.2422,61.9199,59.5962,57.2712,54.9453,52.6184,50.2909,47.9627,45.6339,43.3047,40.9752,38.6453,36.3151,33.9848,31.6542,29.3235,26.9927,24.6619,22.3309,20.0000
0.0641m,100.0000,101.9584,103.9132,105.8605,107.7964,109.7166,111.6165,113.4910,115.3343,117.1399,118.9004,120.6073,122.2513,123.8213,125.3055,126.6904,127.9617,129.1041,130.1025,130.9417,131.6082,132.0901,132.3781,132.4657,132.3497,132.0298,131.5095,130.7951,129.8957,128.8231,127.5910,126.2140,124.7074,123.0862,121.3646,119.5556,117.6711,115.7217,113.7164,111.6633,109.5692,107.4403,105.2815,103.0972,100.8911,98.6665,96.4261,94.1722,91.9068,89.6316,87.3480,85.0573,82.7604,80.4584,78.1520,75.8418,73.5284,71.2122,68.8937,66.5733,64.2511,61.9275,59.6026,57.2767,54.9500,52.6224,50.2942,47.9655,45.6363,43.3068,40.9769,38.6467,36.3163,33.9857,31.6550,29.3241,26.9932,24.6622,22.3311,20.0000
0.0769m,100.0000,101.9832,103.9633,105.9369,107.9007,109.8510,111.7836,113.6940,115.5768,117.4262,119.2349,120.9950,122.6969,124.3296,125.8804,127.3349,128.6771,129.8898,130.9549,131.8549,132.5734,133.0965,133.4129,133.5152,133.3994,133.0656,132.5175,131.7626,130.8119,129.6795,128.3814,126.9353,125.3590,123.6695,121.8828,120.0131,118.0728,116.0727,114.0220,111.9285,109.7989,107.6386,105.4524,103.2443,101.0176,98.7752,96.5193,94.2521,91.9752,89.6902,87.3981,85.1001,82.7971,80.4898,78.1788,75.8647,73.5479,71.2289,68.9080,66.5854,64.2615,61.9363,59.6102,57.2832,54.9554,52.6271,50.2982,47.9689,45.6392,43.3092,40.9789,38.6484,36.3177,33.9868,31.6559,29.3248,26.9937,24.6625,22.3313,20.0000
0.0897m,100.0000,102.0112,104.0199,106.0235,108.0190,110.0035,111.9736,113.9252,115.8538,117.7540,119.6195,121.4424,123.2135,124.9218,126.5540,128.0946,129.5255,130.8267,131.9768,132.9542,133.7392,134.3147,134.6674,134.7883,134.6729,134.3211,133.7375,132.9310,131.9147,130.7057,129.3237,127.7903,126.1266,124.3526,122.4863,120.5430,118.5358,116.4757,114.3716,112.2309,110.0599,107.8635,105.6459,103.4106,101.1603,98.8975,96.6242,94.3419,92.0521,89.7559,87.4543,85.1482,82.8382,80.5249,78.2088,75.8903,73.5698,71.2476,68.9239,66.5990,64.2730,61.9462,59.6186,57.2903,54.9615,52.6323,50.3026,47.9726,45.6423,43.3118,40.9811,38.6503,36.3192,33.9881,31.6569,29.3256,26.9942,24.6629,22.3314,20.0000
0.1026m,100.0000,102.0419,104.0819,106.1182,108.1486,110.1709,112.1824,114.1800,116.1599,118.1176,120.0476,121.9428,123.7946,125.5921,127.3217,128.9668,130.5070,131.9187,133.1756,134.2510,135.1200,135.7615,136.1597,136.3039,136.1889,135.8146,135.1862,134.3145,133.2152,131.9093,130.4216,128.7788,127.0073,125.1305,123.1687,121.1384,119.0532,116.9237,114.7586,112.5645,110.3470,108.1102,105.8577,103.5922,101.3159,99.0308,96.7382,94.4395,92.1355,89.8272,87.5153,85.2003,82.8826,80.5628,78.2412,75.9180,73.5934,71.2677,68.9411,66.6137,64.2856,61.9569,59.6277,57.2981,54.9681,52.6379,50.3074,47.9767,45.6458,43.3147,40.9836,38.6523,36.3209,33.9895,31.6580,29.3264,26.9949,24.6632,22.3316,20.0000
0.1154m,100.0000,102.0744,104.1477,106.2189,108.2866,110.3494,112.4055,114.4529,116.4888,118.5098,120.5114,122.4878,124.4314,126.3320,128.1762,129.9465,131.6203,133.1694,134.5608,135.7596,136.7340,137.4579,137.9125,138.0855,137.9708,137.5686,136.8847,135.9314,134.7276,133.2993,131.6784,129.8996,127.9960,125.9957,123.9212,121.7902,119.6159,117.4084,115.1753,112.9223,110.6538,108.3731,106.0828,103.7848,101.4807,99.1717,96.8586,94.5423,92.2234,89.9023,87.5794,85.2550,82.9294,80.6027,78.2752,75.9470,73.6182,71.2889,68.9592,66.6291,64.2987,61.9681,59.6372,57.3062,54.9751,52.6438,50.3124,47.9809,45.6494,43.3178,40.9861,38.6544,36.3227,33.9909,31.6591,29.3273,26.9955,24.6637,22.3318,20.0000
