Y \ X,0.0000m,0.0526m,0.1053m,0.1579m,0.2105m,0.2632m,0.3158m,0.3684m,0.4211m,0.4737m,0.5263m,0.5789m,0.6316m,0.6842m,0.7368m,0.7895m,0.8421m,0.8947m,0.9474m,1.0000m
0.0000m,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
0.0526m,100.0000,60.7586,45.7093,39.0395,35.7296,33.9546,32.9366,32.2803,31.7483,31.1858,30.4992,29.6482,28.6376,27.5014,26.2844,25.0275,23.7598,22.4975,21.2453,20.0000
0.1053m,100.0000,77.3253,63.0390,54.7189,49.9245,47.1520,45.5117,44.4364,43.5269,42.4959,41.1627,39.4562,37.4008,35.0835,32.6086,30.0656,27.5144,24.9851,22.4836,20.0000
0.1579m,100.0000,85.5035,74.4026,66.8727,62.0976,59.2171,57.5218,56.4265,55.4272,54.1080,52.1997,49.6130,46.4259,42.8231,39.0011,35.1119,31.2471,27.4447,23.7040,20.0000
0.2105m,100.0000,90.2860,82.1952,76.2718,72.3760,70.0970,68.9320,68.3208,67.6472,66.3091,63.9152,60.3702,55.8668,50.7818,45.4608,40.1340,34.9173,29.8426,24.8879,20.0000
0.2632m,100.0000,93.4452,87.8205,83.6435,81.0375,79.8628,79.7885,80.2776,80.5319,79.5662,76.7816,72.0860,65.8895,58.9763,51.9265,45.0459,38.4454,32.1206,26.0049,20.0000
0.3158m,100.0000,95.6743,91.9980,89.4441,88.2677,88.5282,90.0817,92.4691,94.6366,94.6421,91.5590,85.3026,76.6288,67.3076,58.2231,49.6777,41.6977,34.1897,27.0110,20.0000
0.3684m,100.0000,97.2539,95.0533,93.8673,94.0609,95.9007,99.5410,104.8806,110.9034,112.8065,109.5099,100.9368,88.0153,75.4023,63.9805,53.7442,44.4782,35.9294,27.8493,20.0000
0.4211m,100.0000,98.2880,97.0941,96.9109,98.2080,101.4726,107.3011,116.6088,131.2899,136.1707,132.7373,120.9194,99.0936,82.3057,68.5525,56.8404,46.5414,37.2006,28.4568,20.0000
0.4737m,100.0000,98.8040,98.1241,98.4742,100.3876,104.4807,111.5819,122.9639,140.7010,147.0736,143.5735,130.1342,105.1340,86.1744,71.0834,58.5234,47.6465,37.8748,28.7772,20.0000
0.5263m,100.0000,98.8040,98.1241,98.4742,100.3876,104.4807,111.5819,122.9639,140.7010,147.0736,143.5735,130.1342,105.1340,86.1744,71.0834,58.5234,47.6465,37.8748,28.7772,20.0000
0.5789m,100.0000,98.2880,97.0941,96.9109,98.2080,101.4726,107.3011,116.6088,131.2899,136.1707,132.7373,120.9194,99.0936,82.3057,68.5525,56.8404,46.5414,37.2006,28.4568,20.0000
0.6316m,100.0000,97.2539,95.0533,93.8673,94.0609,95.9007,99.5410,104.8806,110.9034,112.8065,109.5099,100.9368,88.0153,75.4023,63.9805,53.7442,44.4782,35.9294,27.8493,20.0000
0.6842m,100.0000,95.6743,91.9980,89.4441,88.2677,88.5282,90.0817,92.4691,94.6366,94.6421,91.5590,85.3026,76.6288,67.3076,58.2231,49.6777,41.6977,34.1897,27.0110,20.0000
0.7368m,100.0000,93.4452,87.8205,83.6435,81.0375,79.8628,79.7885,80.2776,80.5319,79.5662,76.7816,72.0860,65.8895,58.9763,51.9265,45.0459,38.4454,32.1206,26.0049,20.0000
0.7895m,100.0000,90.2860,82.1952,76.2718,72.3760,70.0970,68.9320,68.3208,67.6472,66.3091,63.9152,60.3702,55.8668,50.7818,45.4608,40.1340,34.9173,29.8426,24.8879,20.0000
0.8421m,100.0000,85.5035,74.4026,66.8727,62.0976,59.2171,57.5218,56.4265,55.4272,54.1080,52.1997,49.6130,46.4259,42.8231,39.0011,35.1119,31.2471,27.4447,23.7040,20.0000
0.8947m,100.0000,77.3253,63.0390,54.7189,49.9245,47.1520,45.5117,44.4364,43.5269,42.4959,41.1627,39.4562,37.4008,35.0835,32.6086,30.0656,27.5144,24.9851,22.4836,20.0000
0.9474m,100.0000,60.7586,45.7093,39.0395,35.7296,33.9546,32.9366,32.2803,31.7483,31.1858,30.4992,29.6482,28.6376,27.5014,26.2844,25.0275,23.7598,22.4975,21.2453,20.0000
1.0000m,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
