Y \ X,0.0000m,0.0256m,0.0513m,0.0769m,0.1026m,0.1282m,0.1538m,0.1795m,0.2051m,0.2308m,0.2564m,0.2821m,0.3077m,0.3333m,0.3590m,0.3846m,0.4103m,0.4359m,0.4615m,0.4872m,0.5128m,0.5385m,0.5641m,0.5897m,0.6154m,0.6410m,0.6667m,0.6923m,0.7179m,0.7436m,0.7692m,0.7949m,0.8205m,0.8462m,0.8718m,0.8974m,0.9231m,0.9487m,0.9744m,1.0000m
0.0000m,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
0.0256m,100.0000,60.1692,44.5265,37.2597,33.3585,31.0196,29.5026,28.4634,27.7236,27.1823,26.7775,26.4685,26.2273,26.0333,25.8707,25.7271,25.5927,25.4593,25.3205,25.1715,25.0086,24.8298,24.6339,24.4209,24.1918,23.9480,23.6915,23.4246,23.1495,22.8683,22.5830,22.2952,22.0063,21.7173,21.4288,21.1413,20.8548,20.5692,20.2844,20.0000
0.0513m,100.0000,76.1504,60.6769,51.1537,45.1547,41.2174,38.5275,36.6272,35.2488,34.2282,33.4590,32.8693,32.4074,32.0351,31.7223,31.4452,31.1844,30.9239,30.6513,30.3568,30.0333,29.6766,29.2848,28.8580,28.3982,27.9087,27.3936,26.8574,26.3050,25.7406,25.1684,24.5915,24.0128,23.4341,22.8568,22.2815,21.7086,21.1377,20.5685,20.0000
0.0769m,100.0000,83.7555,70.8772,61.5236,54.8892,50.1678,46.7628,44.2691,42.4164,41.0225,39.9612,39.1421,38.4981,37.9773,37.5382,37.1470,36.7756,36.4008,36.0041,35.5709,35.0912,34.5586,33.9707,33.3281,32.6344,31.8950,31.1166,30.3066,29.4724,28.6209,27.7584,26.8898,26.0192,25.1495,24.2826,23.4195,22.5603,21.7047,20.8516,20.0000
0.1026m,100.0000,87.9946,77.5526,69.1743,62.7106,57.8018,54.0869,51.2700,49.1252,47.4842,46.2211,45.2399,44.4656,43.8378,43.3063,42.8290,42.3702,41.8997,41.3932,40.8317,40.2019,39.4960,38.7112,37.8494,36.9163,35.9202,34.8712,33.7799,32.6571,31.5124,30.3544,29.1900,28.0246,26.8621,25.7046,24.5535,23.4085,22.2690,21.1335,20.0000
0.1282m,100.0000,90.6701,82.1644,74.9103,68.9773,64.2418,60.5131,57.5987,55.3301,53.5680,52.1990,51.1308,50.2867,49.6019,49.0202,48.4926,47.9764,47.4347,46.8373,46.1608,45.3888,44.5122,43.5287,42.4421,41.2613,39.9984,38.6680,37.2849,35.8636,34.4172,32.9568,31.4912,30.0273,28.5695,27.1205,25.6812,24.2513,22.8294,21.4132,20.0000
0.1538m,100.0000,92.5214,85.5247,79.3251,74.0464,69.6752,66.1249,63.2816,61.0287,59.2587,57.8762,56.7976,55.9486,55.2629,54.6800,54.1449,53.6080,53.0254,52.3607,51.5854,50.6803,49.6353,48.4492,47.1291,45.6882,44.1443,42.5175,40.8280,39.0953,37.3360,35.5642,33.7909,32.0239,30.2682,28.5266,26.7996,25.0862,23.3840,21.6899,20.0000
0.1795m,100.0000,93.8909,88.0878,82.8191,78.2080,74.2875,71.0299,68.3740,66.2443,64.5618,63.2497,62.2347,61.4473,60.8210,60.2920,59.7992,59.2852,58.6983,57.9945,57.1399,56.1117,54.8994,53.5039,51.9369,50.2182,48.3732,46.4295,44.4146,42.3534,40.2673,38.1733,36.0843,34.0091,31.9529,29.9180,27.9043,25.9097,23.9307,21.9625,20.0000
0.2051m,100.0000,94.9543,90.1167,85.6554,81.6790,78.2370,75.3332,72.9403,71.0126,69.4946,68.3260,67.4443,66.7849,66.2820,65.8679,65.4746,65.0353,64.4880,63.7793,62.8680,61.7274,60.3466,58.7301,56.8963,54.8745,52.7007,50.4128,48.0474,45.6365,43.2065,40.7775,38.3640,35.9753,33.6162,31.2883,28.9900,26.7178,24.4664,22.2295,20.0000
0.2308m,100.0000,95.8095,91.7691,88.0070,84.6155,81.6483,79.1257,77.0415,75.3712,74.0779,73.1156,72.4314,71.9661,71.6540,71.4230,71.1959,70.8934,70.4391,69.7668,68.8255,67.5833,66.0295,64.1735,62.0438,59.6830,57.1422,54.4737,51.7257,48.9388,46.1446,43.3661,40.6189,37.9117,35.2485,32.6289,30.0496,27.5050,24.9876,22.4890,20.0000
