Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.0000m,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
0.0127m,100.0000,60.0399,44.2676,36.8709,32.8394,30.3699,28.7223,27.5531,26.6851,26.0186,25.4932,25.0707,24.7251,24.4389,24.1991,23.9964,23.8238,23.6759,23.5483,23.4377,23.3413,23.2569,23.1826,23.1169,23.0583,23.0057,22.9581,22.9146,22.8744,22.8367,22.8010,22.7666,22.7331,22.7000,22.6668,22.6333,22.5990,22.5636,22.5271,22.4890,22.4493,22.4079,22.3646,22.3194,22.2722,22.2231,22.1720,22.1190,22.0642,22.0076,21.9494,21.8897,21.8285,21.7660,21.7024,21.6377,21.5721,21.5057,21.4386,21.3710,21.3029,21.2345,21.1658,21.0969,21.0279,20.9588,20.8897,20.8207,20.7517,20.6829,20.6141,20.5455,20.4769,20.4085,20.3403,20.2721,20.2040,20.1359,20.0680,20.0000
0.0253m,100.0000,75.8920,60.1596,50.3766,44.1168,39.9178,36.9661,34.8050,33.1688,31.8960,30.8837,30.0642,29.3910,28.8312,28.3611,27.9628,27.6231,27.3314,27.0796,26.8611,26.6706,26.5037,26.3567,26.2266,26.1106,26.0064,25.9121,25.8259,25.7462,25.6715,25.6006,25.5324,25.4659,25.4000,25.3341,25.2672,25.1989,25.1285,25.0556,24.9797,24.9004,24.8177,24.7311,24.6407,24.5463,24.4480,24.3458,24.2398,24.1301,24.0169,23.9004,23.7808,23.6583,23.5332,23.4058,23.2763,23.1450,23.0121,22.8778,22.7425,22.6062,22.4692,22.3318,22.1939,22.0558,21.9176,21.7795,21.6414,21.5034,21.3656,21.2281,21.0908,20.9538,20.8170,20.6804,20.5441,20.4079,20.2719,20.1359,20.0000
0.0380m,100.0000,83.3685,70.1023,60.3592,53.3332,48.2185,44.4192,41.5319,39.2892,37.5127,36.0815,34.9116,33.9435,33.1340,32.4511,31.8708,31.3742,30.9470,30.5775,30.2565,29.9763,29.7305,29.5140,29.3221,29.1510,28.9973,28.8581,28.7308,28.6129,28.5025,28.3976,28.2966,28.1979,28.1002,28.0022,27.9027,27.8010,27.6960,27.5871,27.4736,27.3551,27.2312,27.1015,26.9660,26.8245,26.6769,26.5235,26.3643,26.1995,26.0295,25.8544,25.6747,25.4907,25.3028,25.1113,24.9167,24.7194,24.5198,24.3181,24.1148,23.9102,23.7045,23.4981,23.2911,23.0839,22.8765,22.6691,22.4619,22.2549,22.0482,21.8418,21.6359,21.4304,21.2252,21.0204,20.8159,20.6117,20.4077,20.2038,20.0000
0.0506m,100.0000,87.4799,76.5217,67.6245,60.6385,55.2038,50.9604,47.6143,44.9434,42.7842,41.0178,39.5571,38.3373,37.3101,36.4388,35.6948,35.0561,34.5049,34.0271,33.6111,33.2475,32.9282,32.6466,32.3969,32.1740,31.9738,31.7922,31.6261,31.4722,31.3279,31.1908,31.0585,30.9290,30.8006,30.6716,30.5406,30.4062,30.2674,30.1231,29.9726,29.8152,29.6504,29.4778,29.2973,29.1086,28.9118,28.7070,28.4944,28.2743,28.0471,27.8131,27.5729,27.3270,27.0758,26.8199,26.5599,26.2962,26.0295,25.7601,25.4885,25.2152,24.9406,24.6650,24.3887,24.1121,23.8353,23.5586,23.2821,23.0060,22.7303,22.4552,22.1806,21.9065,21.6330,21.3600,21.0874,20.8152,20.5433,20.2716,20.0000
0.0633m,100.0000,90.0292,80.8803,72.9787,66.3925,60.9978,56.6042,53.0217,50.0857,47.6629,45.6487,43.9616,42.5385,41.3305,40.2990,39.4137,38.6503,37.9893,37.4148,36.9134,36.4743,36.0883,35.7473,35.4447,35.1745,34.9314,34.7110,34.5091,34.3220,34.1463,33.9790,33.8175,33.6591,33.5017,33.3432,33.1818,33.0159,32.8442,32.6654,32.4785,32.2827,32.0774,31.8621,31.6366,31.4008,31.1546,30.8982,30.6320,30.3562,30.0714,29.7781,29.4769,29.1685,28.8536,28.5327,28.2067,27.8762,27.5418,27.2042,26.8639,26.5215,26.1776,25.8325,25.4866,25.1404,24.7940,24.4479,24.1020,23.7567,23.4120,23.0680,22.7247,22.3822,22.0404,21.6992,21.3586,21.0185,20.6788,20.3393,20.0000
0.0759m,100.0000,91.7565,83.9915,77.0173,70.9552,65.7906,61.4371,57.7825,54.7147,52.1331,49.9524,48.1020,46.5247,45.1742,44.0130,43.0106,42.1422,41.3874,40.7292,40.1535,39.6482,39.2032,38.8097,38.4601,38.1477,37.8665,37.6113,37.3773,37.1603,36.9562,36.7616,36.5733,36.3882,36.2038,36.0176,35.8275,35.6316,35.4281,35.2157,34.9933,34.7597,34.5144,34.2567,33.9864,33.7033,33.4076,33.0994,32.7791,32.4471,32.1042,31.7510,31.3882,31.0167,30.6372,30.2507,29.8581,29.4600,29.0574,28.6509,28.2414,27.8295,27.4158,27.0008,26.5850,26.1688,25.7527,25.3368,24.9214,24.5068,24.0930,23.6801,23.2682,22.8572,22.4471,22.0378,21.6293,21.2214,20.8140,20.4069,20.0000
0.0886m,100.0000,93.0054,86.3120,80.1438,74.6204,69.7723,65.5709,61.9565,58.8576,56.2025,53.9257,51.9693,50.2842,48.8287,47.5682,46.4736,45.5206,44.6889,43.9612,43.3230,42.7618,42.2667,41.8283,41.4384,41.0897,40.7757,40.4904,40.2287,39.9855,39.7567,39.5380,39.3258,39.1167,38.9077,38.6960,38.4790,38.2547,38.0209,37.7762,37.5191,37.2486,36.9637,36.6639,36.3489,36.0186,35.6731,35.3126,34.9378,34.5491,34.1473,33.7334,33.3082,32.8727,32.4279,31.9749,31.5148,31.0484,30.5767,30.1008,29.6214,29.1393,28.6552,28.1698,27.6837,27.1973,26.7110,26.2252,25.7401,25.2560,24.7730,24.2912,23.8106,23.3312,22.8529,22.3757,21.8994,21.4239,20.9489,20.4743,20.0000
0.1013m,100.0000,93.9529,88.1074,82.6255,77.6102,73.1072,69.1178,65.6151,62.5565,59.8937,57.5785,55.5654,53.8140,52.2883,50.9575,49.7949,48.7777,47.8863,47.1038,46.4157,45.8092,45.2734,44.7984,44.3755,43.9971,43.6560,43.3461,43.0613,42.7966,42.5469,42.3078,42.0752,41.8452,41.6144,41.3796,41.1380,40.8872,40.6248,40.3491,40.0585,39.7517,39.4279,39.0863,38.7268,38.3491,37.9535,37.5403,37.1103,36.6641,36.2027,35.7271,35.2385,34.7380,34.2269,33.7064,33.1777,32.6420,32.1005,31.5541,31.0040,30.4510,29.8960,29.3397,28.7827,28.2256,27.6688,27.1128,26.5579,26.0042,25.4519,24.9012,24.3519,23.8041,23.2578,22.7127,22.1687,21.6257,21.0834,20.5416,20.0000
0.1139m,100.0000,94.6989,89.5393,84.6406,80.0878,75.9284,72.1782,68.8295,65.8596,63.2375,60.9290,58.9000,57.1179,55.5530,54.1786,52.9708,51.9090,50.9748,50.1520,49.4266,48.7861,48.2192,47.7163,47.2682,46.8670,46.5053,46.1764,45.8741,45.5926,45.3266,45.0713,44.8219,44.5745,44.3250,44.0700,43.8063,43.5311,43.2420,42.9369,42.6140,42.2719,41.9098,41.5268,41.1228,40.6975,40.2514,39.7850,39.2990,38.7943,38.2722,37.7338,37.1806,36.6139,36.0352,35.4460,34.8476,34.2415,33.6290,33.0113,32.3895,31.7648,31.1381,30.5101,29.8817,29.2535,28.6259,27.9994,27.3744,26.7510,26.1293,25.5096,24.8917,24.2757,23.6613,23.0485,22.4371,21.8268,21.2174,20.6085,20.0000
